filename,width,height,class,xmin,ymin,xmax,ymax,labels
train/2-_1-mp4_117_png.rf.786ca468a8086416c75f1b1e1cbbf37c.jpg,28,20,person,7,8,16,18,1
train/2023-09-14-03-49-26-mp4_154_png.rf.a4ec6a2229b64c446d95b192db12f1e3.jpg,28,20,person,14,9,20,20,1
train/2023-09-14-03-49-26-mp4_154_png.rf.a4ec6a2229b64c446d95b192db12f1e3.jpg,28,20,person,9,9,13,20,1
train/2023-09-14-03-49-26-mp4_207_png.rf.fa927e9dbc96b906706af1754cdd2ec2.jpg,30,22,person,5,5,11,16,1
train/2023-09-14-03-49-26-mp4_207_png.rf.fa927e9dbc96b906706af1754cdd2ec2.jpg,30,22,person,20,4,25,15,1
train/2023-09-11-05-33-46-mp4_51_png.rf.dc3d1e0bae25f593fbbe6d716e4de9ba.jpg,32,24,person,10,7,20,19,1
train/2-_1-mp4_45_png.rf.855c6218183c009248109da9f0d0dee0.jpg,30,22,person,11,4,17,16,1
train/meter-mp4_36_png.rf.5d59ead179c42462ed70a6d86b8baccc.jpg,28,20,person,12,3,20,16,1
train/2023-09-11-05-33-46-mp4_63_png.rf.ed7b0ea1730012d980810666b401538a.jpg,32,24,person,10,6,20,20,1
train/2023-09-14-03-49-26-mp4_18_png.rf.cff834f87e7434b43e171cb1b0e7b0cb.jpg,28,22,person,7,5,15,20,1
train/2023-09-14-03-49-26-mp4_167_png.rf.6ad149464d7f40d44d9b0efffd7f1b6c.jpg,32,24,person,13,3,18,14,1
train/2023-09-14-03-49-26-mp4_167_png.rf.6ad149464d7f40d44d9b0efffd7f1b6c.jpg,32,24,person,20,2,28,15,1
train/2-_1-mp4_108_png.rf.6327429418578edce3b9069c56bb9d73.jpg,32,24,person,16,6,24,17,1
train/meter-mp4_17_png.rf.9916d083845cb3d582687659b21fd1e0.jpg,30,22,person,7,7,30,23,1
train/2023-09-11-05-33-46-mp4_16_png.rf.a46e2d70af295c6eefb1a79ac58d2c10.jpg,30,22,person,1,1,27,23,1
train/meter-mp4_29_png.rf.ad4489d13cba77fbfe382c561a91db51.jpg,32,24,person,11,2,22,18,1
